scenario_id,condition,family,source_file,n_variants,lambda_pert,decision_fragility,decision_A,decision_B,decision_C
IM-01,roles,surface_rephrasing,IM-01__rolesTrue__N5__R20.jsonl,10,0.04381570890507821,0.5,4,5,1
IM-01,roles,formatting_changes,IM-01__rolesTrue__N5__R20.jsonl,9,0.06325870132886825,0.33333333333333337,3,6,0
IM-01,noroles,surface_rephrasing,IM-01__rolesFalse__N5__R20.jsonl,10,0.06094682049804528,0.30000000000000004,2,7,1
IM-01,noroles,formatting_changes,IM-01__rolesFalse__N5__R20.jsonl,9,0.04163460194741577,0.2222222222222222,1,7,1
IM-02,roles,surface_rephrasing,IM-02__rolesTrue__N5__R20.jsonl,10,0.0384241568770772,0.0,0,10,0
IM-02,roles,formatting_changes,IM-02__rolesTrue__N5__R20.jsonl,9,0.05425404999643708,0.0,0,9,0
IM-02,noroles,surface_rephrasing,IM-02__rolesFalse__N5__R20.jsonl,10,0.09745029619926467,0.0,0,10,0
IM-02,noroles,formatting_changes,IM-02__rolesFalse__N5__R20.jsonl,9,0.04673063925975537,0.0,0,9,0
HL-01,roles,surface_rephrasing,HL-01__rolesTrue__N5__R20.jsonl,10,0.03299836037511794,0.4,4,6,0
HL-01,roles,formatting_changes,HL-01__rolesTrue__N5__R20.jsonl,9,0.06647173915865455,0.33333333333333337,2,6,1
HL-01,noroles,surface_rephrasing,HL-01__rolesFalse__N5__R20.jsonl,10,0.0820719856386963,0.6,4,3,3
HL-01,noroles,formatting_changes,HL-01__rolesFalse__N5__R20.jsonl,9,0.08227822175198492,0.5555555555555556,1,4,4
HL-02,roles,surface_rephrasing,HL-02__rolesTrue__N5__R20.jsonl,10,0.007957297615409047,0.6,2,4,4
HL-02,roles,formatting_changes,HL-02__rolesTrue__N5__R20.jsonl,9,0.010090640438457091,0.5555555555555556,3,2,4
HL-02,noroles,surface_rephrasing,HL-02__rolesFalse__N5__R20.jsonl,10,0.06103844928998986,0.19999999999999996,1,1,8
HL-02,noroles,formatting_changes,HL-02__rolesFalse__N5__R20.jsonl,9,0.03761694561666047,0.4444444444444444,3,0,5
IN-01,roles,surface_rephrasing,IN-01__rolesTrue__N5__R20.jsonl,10,0.03985081869657916,0.5,3,5,2
IN-01,roles,formatting_changes,IN-01__rolesTrue__N5__R20.jsonl,9,0.055697375936200465,0.5555555555555556,4,4,1
IN-01,noroles,surface_rephrasing,IN-01__rolesFalse__N5__R20.jsonl,10,0.06697624260934612,0.4,6,1,3
IN-01,noroles,formatting_changes,IN-01__rolesFalse__N5__R20.jsonl,9,0.06864075276169966,0.5555555555555556,4,4,1
IN-02,roles,surface_rephrasing,IN-02__rolesTrue__N5__R20.jsonl,10,0.044460678022444626,0.0,0,10,0
IN-02,roles,formatting_changes,IN-02__rolesTrue__N5__R20.jsonl,9,0.03891592965659841,0.0,0,9,0
IN-02,noroles,surface_rephrasing,IN-02__rolesFalse__N5__R20.jsonl,10,0.01904510756176647,0.0,0,10,0
IN-02,noroles,formatting_changes,IN-02__rolesFalse__N5__R20.jsonl,9,-0.008004037382355233,0.0,0,9,0
CL-01,roles,surface_rephrasing,CL-01__rolesTrue__N5__R20.jsonl,10,0.07238351713690905,0.5,5,5,0
CL-01,roles,formatting_changes,CL-01__rolesTrue__N5__R20.jsonl,9,0.028002842668522668,0.33333333333333337,6,3,0
CL-01,noroles,surface_rephrasing,CL-01__rolesFalse__N5__R20.jsonl,10,0.03122272131564768,0.4,6,2,2
CL-01,noroles,formatting_changes,CL-01__rolesFalse__N5__R20.jsonl,9,0.06468499954633124,0.4444444444444444,5,4,0
CL-04,roles,surface_rephrasing,CL-04__rolesTrue__N5__R20.jsonl,10,0.015715943307784454,0.19999999999999996,1,8,1
CL-04,roles,formatting_changes,CL-04__rolesTrue__N5__R20.jsonl,9,0.04732770285103837,0.2222222222222222,1,7,1
CL-04,noroles,surface_rephrasing,CL-04__rolesFalse__N5__R20.jsonl,10,0.017499112166092363,0.30000000000000004,1,7,2
CL-04,noroles,formatting_changes,CL-04__rolesFalse__N5__R20.jsonl,9,-0.002073635174428728,0.4444444444444444,1,3,5
SP-01,roles,surface_rephrasing,SP-01__rolesTrue__N5__R20.jsonl,10,0.04272864693518237,0.0,0,10,0
SP-01,roles,formatting_changes,SP-01__rolesTrue__N5__R20.jsonl,9,0.08508495453310409,0.0,0,9,0
