scenario_id,condition,source_file,n_variants,lambda_pert,decision_fragility,decision_A,decision_B,decision_C
IM-01,roles,IM-01__rolesTrue__N5__R20.jsonl,20,0.04760700304265828,0.4,7,12,1
IM-01,noroles,IM-01__rolesFalse__N5__R20.jsonl,20,0.04600820346729449,0.25,3,15,2
IM-02,roles,IM-02__rolesTrue__N5__R20.jsonl,20,0.04302497259821679,0.0,0,20,0
IM-02,noroles,IM-02__rolesFalse__N5__R20.jsonl,20,0.07360044194831288,0.0,0,20,0
HL-01,roles,HL-01__rolesTrue__N5__R20.jsonl,20,0.048344875446821645,0.35,6,13,1
HL-01,noroles,HL-01__rolesFalse__N5__R20.jsonl,20,0.07209767434925088,0.6,5,8,7
HL-02,roles,HL-02__rolesTrue__N5__R20.jsonl,20,0.00658109669488551,0.55,5,6,9
HL-02,noroles,HL-02__rolesFalse__N5__R20.jsonl,20,0.04734920116172088,0.35,5,1,13
IN-01,roles,IN-01__rolesTrue__N5__R20.jsonl,20,0.04259609556533686,0.55,7,9,4
IN-01,noroles,IN-01__rolesFalse__N5__R20.jsonl,20,0.06627858172918225,0.5,10,5,5
IN-02,roles,IN-02__rolesTrue__N5__R20.jsonl,20,0.044544833724686296,0.0,0,20,0
IN-02,noroles,IN-02__rolesFalse__N5__R20.jsonl,20,0.010500130661837649,0.0,0,20,0
CL-01,roles,CL-01__rolesTrue__N5__R20.jsonl,20,0.04147347053678105,0.44999999999999996,11,9,0
CL-01,noroles,CL-01__rolesFalse__N5__R20.jsonl,20,0.054423546031400136,0.44999999999999996,11,7,2
CL-04,roles,CL-04__rolesTrue__N5__R20.jsonl,20,0.03125708210974966,0.19999999999999996,2,16,2
CL-04,noroles,CL-04__rolesFalse__N5__R20.jsonl,20,0.008162451283497527,0.44999999999999996,2,11,7
SP-01,roles,SP-01__rolesTrue__N5__R20.jsonl,20,0.060961821380809925,0.0,0,20,0
SP-01,noroles,SP-01__rolesFalse__N5__R20.jsonl,20,0.07442670586830227,0.15000000000000002,3,17,0
SP-03,roles,SP-03__rolesTrue__N5__R20.jsonl,20,0.0630343221785403,0.55,3,8,9
SP-03,noroles,SP-03__rolesFalse__N5__R20.jsonl,20,0.06877315557751258,0.30000000000000004,3,14,3
AI-01,roles,AI-01__rolesTrue__N5__R20.jsonl,20,0.03531675019329912,0.0,0,20,0
AI-01,noroles,AI-01__rolesFalse__N5__R20.jsonl,20,0.06828755965937577,0.15000000000000002,0,17,3
AI-02,roles,AI-02__rolesTrue__N5__R20.jsonl,20,0.026054110887192564,0.19999999999999996,4,16,0
AI-02,noroles,AI-02__rolesFalse__N5__R20.jsonl,20,0.031501393876265146,0.15000000000000002,3,17,0
